lat,lon,elevation_m,in_camp,unix_time,distance_from_camp_m
-3.575183546,35.12333345,1079,1,1520741635,61.625
-3.575183513,35.12333347,1079,1,1520741640,61.6233
-3.575183345,35.12333323,1079,1,1520741645,61.6502
-3.575183211,35.12333307,1079,1,1520741650,61.6694
-3.575183194,35.12333288,1079,1,1520741655,61.69
-3.575183127,35.12333268,1079,1,1520741660,61.7126
-3.575183127,35.12333268,1079,1,1520741665,61.7126
-3.575183127,35.12333268,1079,1,1520741670,61.7126
-3.575183144,35.12333266,1079,1,1520741675,61.7144
-3.575183211,35.1233326,1079,1,1520741680,61.7215
-3.575183278,35.12333248,1079,1,1520741685,61.7342
-3.575183546,35.12333193,1079,1,1520741690,61.7944
-3.575183563,35.12333141,1079,1,1520741695,61.852
-3.57518363,35.12333064,1079,1,1520741700,61.9373
-3.575183664,35.12333044,1078,1,1520741705,61.9594
-3.575183798,35.1233301,1078,1,1520741710,61.996
-3.575183848,35.12332983,1078,1,1520741715,62.0256
-3.575184083,35.12332968,1078,1,1520741720,62.0412
-3.575184217,35.12332909,1078,1,1520741725,62.1057
-3.575184217,35.12332914,1078,1,1520741730,62.1002
-3.575184217,35.12332908,1078,1,1520741735,62.1076
-3.575184217,35.12332908,1078,1,1520741740,62.1076
-3.575184217,35.12332908,1078,1,1520741745,62.1076
-3.575184217,35.12332914,1078,1,1520741750,62.1002
-3.575184234,35.1233295,1078,1,1520741755,62.061
-3.575184385,35.12332973,1078,1,1520741760,62.0342
-3.575184753,35.12332935,1078,1,1520741765,62.0754
-3.575184888,35.12332941,1078,1,1520741770,62.0673
-3.575184888,35.12332941,1078,1,1520741775,62.0673
-3.575184904,35.12332941,1077,1,1520741780,62.0672
-3.575184971,35.12332941,1077,1,1520741785,62.0669
-3.575185005,35.12332941,1077,1,1520741790,62.0668
-3.575185139,35.12332941,1077,1,1520741795,62.0662
-3.575185139,35.12332941,1077,1,1520741800,62.0662
-3.575185139,35.12332941,1077,1,1520741805,62.0662
-3.575185139,35.12332941,1077,1,1520741810,62.0662
-3.575185139,35.12332941,1077,1,1520741815,62.0662
-3.575185139,35.12332941,1077,1,1520741820,62.0662
-3.575185139,35.12332941,1077,1,1520741825,62.0662
-3.575185139,35.12332941,1077,1,1520741830,62.0662
-3.575185139,35.12332941,1077,1,1520741835,62.0662
-3.575185139,35.12332941,1077,1,1520741840,62.0662
-3.575185139,35.1233294,1077,1,1520741845,62.0677
-3.575185139,35.12332933,1077,1,1520741850,62.0755
-3.575185139,35.12332933,1077,1,1520741855,62.0755
-3.575185139,35.12332933,1077,1,1520741860,62.0755
-3.575185139,35.12332933,1077,1,1520741865,62.0755
-3.575185223,35.12332933,1077,1,1520741870,62.0751
-3.575185223,35.12332933,1077,1,1520741875,62.0751
