lat,lon,elevation_m,in_camp,unix_time,distance_from_camp_m
-3.8374506,34.9995706,1256,1,1474173125,20.9401
-3.8374484,34.999573,1256,1,1474173130,21.0804
-3.837446,34.999573,1256,1,1474173135,20.9727
-3.837446,34.999573,1256,1,1474173140,20.9727
-3.837446,34.999573,1256,1,1474173145,20.9727
-3.8374448,34.9995714,1256,1,1474173150,20.7568
-3.8374422,34.999569,1256,1,1474173155,20.3983
-3.8374426,34.999569,1256,1,1474173160,20.4157
-3.8374382,34.9995642,1256,1,1474173165,19.7356
-3.837426,34.9995558,1255,1,1474173170,18.3795
-3.837421333,34.99956167,1255,1,1474173175,18.8324
-3.8374174,34.999577,1255,1,1474173180,20.3463
-3.8374142,34.999577,1254,1,1474173185,20.2581
-3.837411,34.999577,1254,1,1474173190,20.1756
-3.837411,34.999577,1254,1,1474173195,20.1756
-3.837411,34.999577,1254,1,1474173200,20.1756
-3.837411,34.999577,1254,1,1474173205,20.1756
-3.837411,34.999577,1254,1,1474173210,20.1756
-3.8374108,34.999577,1254,1,1474173215,20.1707
-3.83741,34.999577,1254,1,1474173220,20.1511
-3.83741,34.999577,1254,1,1474173225,20.1511
-3.83741,34.999577,1254,1,1474173230,20.1511
-3.83741,34.999577,1254,1,1474173235,20.1511
-3.83741,34.999577,1254,1,1474173240,20.1511
-3.83741,34.999577,1254,1,1474173245,20.1511
-3.83741,34.999577,1254,1,1474173250,20.1511
-3.83741,34.999577,1254,1,1474173255,20.1511
-3.8374096,34.999577,1254,1,1474173260,20.1414
-3.837408,34.999577,1254,1,1474173265,20.1037
-3.837408,34.999577,1254,1,1474173270,20.1037
-3.837408,34.999577,1254,1,1474173275,20.1037
-3.837408,34.999577,1254,1,1474173280,20.1037
-3.837408,34.999577,1254,1,1474173285,20.1037
-3.837408,34.999577,1254,1,1474173290,20.1037
-3.837408,34.999577,1254,1,1474173295,20.1037
-3.837408,34.999577,1254,1,1474173300,20.1037
-3.837408,34.999577,1254,1,1474173305,20.1037
-3.837408,34.999577,1254,1,1474173310,20.1037
-3.837408,34.999577,1254,1,1474173315,20.1037
-3.837408,34.999577,1254,1,1474173320,20.1037
-3.837408,34.999577,1254,1,1474173325,20.1037
-3.837408,34.999577,1254,1,1474173330,20.1037
-3.837408,34.999577,1254,1,1474173335,20.1037
-3.837408,34.999577,1254,1,1474173340,20.1037
-3.837408,34.999577,1254,1,1474173345,20.1037
-3.837408,34.999577,1254,1,1474173350,20.1037
-3.837408,34.999577,1254,1,1474173355,20.1037
-3.837408,34.999577,1254,1,1474173360,20.1037
-3.837408,34.999577,1254,1,1474173365,20.1037
-3.837408,34.999577,1254,1,1474173370,20.1037
-3.837408,34.999577,1254,1,1474173375,20.1037
-3.837408,34.999577,1254,1,1474173380,20.1037
-3.837408,34.999577,1254,1,1474173385,20.1037
-3.837408,34.999577,1254,1,1474173390,20.1037
-3.837408,34.999577,1254,1,1474173395,20.1037
-3.837408,34.999577,1254,1,1474173400,20.1037
-3.837408,34.999577,1254,1,1474173405,20.1037
-3.837408,34.999577,1254,1,1474173410,20.1037
-3.837408,34.999577,1254,1,1474173415,20.1037
-3.837408,34.999577,1254,1,1474173420,20.1037
-3.837408,34.999577,1254,1,1474173425,20.1037
-3.837408,34.999577,1254,1,1474173430,20.1037
-3.837408,34.999577,1254,1,1474173435,20.1037
-3.837408,34.999577,1254,1,1474173440,20.1037
-3.837408,34.999577,1254,1,1474173445,20.1037
-3.837408,34.999577,1254,1,1474173450,20.1037
-3.837408,34.999577,1254,1,1474173455,20.1037
-3.837408,34.999577,1254,1,1474173460,20.1037
-3.837408,34.999577,1254,1,1474173465,20.1037
-3.837408,34.999577,1254,1,1474173470,20.1037
-3.837408,34.999577,1254,1,1474173475,20.1037
-3.837408,34.999577,1254,1,1474173480,20.1037
-3.837408,34.999577,1254,1,1474173485,20.1037
-3.8374068,34.999577,1254,1,1474173490,20.0764
-3.8374072,34.999577,1254,1,1474173495,20.0854
-3.837408,34.999577,1254,1,1474173500,20.1037
-3.837408,34.999577,1254,1,1474173505,20.1037
-3.837408,34.999577,1254,1,1474173510,20.1037
-3.837408,34.999577,1254,1,1474173515,20.1037
-3.8374072,34.999577,1254,1,1474173520,20.0854
-3.837406,34.999577,1254,1,1474173525,20.0586
-3.837406,34.999577,1254,1,1474173530,20.0586
-3.8374068,34.999577,1254,1,1474173535,20.0764
-3.8374072,34.999577,1254,1,1474173540,20.0854
-3.8374068,34.999577,1254,1,1474173545,20.0764
-3.837408,34.999577,1254,1,1474173550,20.1037
-3.837408,34.999577,1254,1,1474173555,20.1037
-3.837408,34.999577,1254,1,1474173560,20.1037
-3.837408,34.999577,1254,1,1474173565,20.1037
-3.837408,34.999577,1254,1,1474173570,20.1037
-3.837408,34.999577,1254,1,1474173575,20.1037
-3.8374072,34.999577,1254,1,1474173580,20.0854
-3.8374068,34.999577,1254,1,1474173585,20.0764
-3.837408,34.999577,1254,1,1474173590,20.1037
-3.837408,34.999577,1254,1,1474173595,20.1037
-3.837408,34.999577,1254,1,1474173600,20.1037
-3.837408,34.999577,1254,1,1474173605,20.1037
-3.8374076,34.999577,1254,1,1474173610,20.0945
-3.837406,34.9995776,1254,1,1474173615,20.124
-3.837406,34.99958,1254,1,1474173620,20.3853
-3.8374064,34.99958,1254,1,1474173625,20.394
-3.837408,34.99958,1254,1,1474173630,20.4297
-3.837408,34.99958,1254,1,1474173635,20.4297
-3.837408,34.99958,1254,1,1474173640,20.4297
-3.837408,34.99958,1254,1,1474173645,20.4297
-3.837408,34.99958,1254,1,1474173650,20.4297
-3.837408,34.99958,1254,1,1474173655,20.4297
-3.837408,34.99958,1254,1,1474173660,20.4297
-3.837408,34.99958,1254,1,1474173665,20.4297
-3.837408,34.99958,1254,1,1474173670,20.4297
-3.837408,34.99958,1254,1,1474173675,20.4297
-3.837408,34.99958,1254,1,1474173680,20.4297
-3.837408,34.99958,1254,1,1474173685,20.4297
-3.837408,34.99958,1254,1,1474173690,20.4297
-3.837408,34.9995794,1254,1,1474173695,20.3645
-3.837408,34.9995776,1254,1,1474173700,20.1689
-3.837408,34.99958,1254,1,1474173705,20.4297
-3.837408,34.99958,1254,1,1474173710,20.4297
-3.837408,34.99958,1254,1,1474173715,20.4297
-3.837408,34.99958,1254,1,1474173720,20.4297
-3.83741,34.99958,1254,1,1474173725,20.4763
-3.837411333,34.99958,1254,1,1474173730,20.5086
-3.837413,34.99958,1254,1,1474173735,20.5505
-3.837411,34.999569,1254,1,1474173740,19.3108
-3.837413,34.999565,1253,1,1474173745,18.9336
-3.837413,34.999561,1254,1,1474173750,18.5038
-3.837415,34.999554,1254,1,1474173755,17.8141
-3.837415,34.99955,1254,1,1474173760,17.3879
-3.837415,34.999554,1254,1,1474173765,17.8141
-3.837411,34.999561,1254,1,1474173770,18.4483
-3.83741,34.999561,1254,1,1474173775,18.4214
-3.837378,34.999542,1253,1,1474173780,15.797
-3.837365,34.999538,1252,1,1474173785,15.3378
-3.837366,34.99955,1251,1,1474173790,16.6666
-3.837373,34.999542,1251,1,1474173795,15.7757
-3.837405,34.999565,1251,1,1474173800,18.731
-3.837401,34.999592,1251,1,1474173805,21.5995
-3.837393,34.999599,1251,1,1474173810,22.2491
-3.837388,34.999603,1251,1,1474173815,22.6352
-3.837386333,34.999603,1251,1,1474173820,22.6197
-3.83739,34.999603,1251,1,1474173825,22.6557
-3.837395,34.9995998,1251,1,1474173830,22.3636
-3.837396,34.9995966,1251,1,1474173835,22.0251
-3.837396,34.999596,1251,1,1474173840,21.959
-3.8373952,34.9995928,1251,1,1474173845,21.5951
-3.8373918,34.999592,1251,1,1474173850,21.4615
-3.8373902,34.9995952,1251,1,1474173855,21.7959
-3.83739,34.9995928,1251,1,1474173860,21.5285
-3.8373868,34.9995952,1251,1,1474173865,21.7606
-3.8373852,34.999596,1251,1,1474173870,21.8348
-3.837389,34.999596,1251,1,1474173875,21.8712
-3.8373924,34.9995928,1251,1,1474173880,21.5574
-3.8373954,34.999592,1251,1,1474173885,21.5099
-3.8373976,34.9995888,1251,1,1474173890,21.1912
-3.8374004,34.9995848,1251,1,1474173895,20.7995
-3.8374042,34.9995872,1251,1,1474173900,21.1337
-3.8374058,34.9995912,1251,1,1474173905,21.6027
-3.83741,34.999592,1251,1,1474173910,21.7796
-3.837415,34.999592,1251,1,1474173915,21.8986
-3.8374176,34.999592,1251,1,1474173920,21.9657
-3.8374196,34.999592,1251,1,1474173925,22.0197
-3.8374224,34.9995856,1251,1,1474173930,21.4137
-3.8374246,34.999584,1251,1,1474173935,21.3103
-3.8374274,34.999584,1251,1,1474173940,21.4001
-3.837428,34.99958933,1251,1,1474173945,21.9858
-3.837428,34.999592,1251,1,1474173950,22.2692
-3.8374262,34.999592,1251,1,1474173955,22.2127
-3.837425,34.999592,1251,1,1474173960,22.176
-3.8374256,34.9995896,1251,1,1474173965,21.9382
-3.837426,34.9995904,1251,1,1474173970,22.0359
-3.8374242,34.999592,1251,1,1474173975,22.1519
-3.837423,34.999592,1251,1,1474173980,22.1164
-3.837423,34.9995872,1251,1,1474173985,21.6027
-3.8374248,34.999584,1251,1,1474173990,21.3166
-3.837426,34.999584,1251,1,1474173995,21.3547
-3.8374224,34.999584,1251,1,1474174000,21.2427
-3.8374176,34.9995864,1251,1,1474174005,21.3623
-3.8374172,34.9995856,1251,1,1474174010,21.2653
-3.8374198,34.9995816,1251,1,1474174015,20.9088
-3.837421,34.9995782,1251,1,1474174020,20.5807
-3.8374204,34.9995722,1251,1,1474174025,19.9219
-3.8374206,34.999569,1251,1,1474174030,19.5872
-3.8374204,34.999569,1251,1,1474174035,19.5809
-3.8374176,34.9995666,1251,1,1474174040,19.2385
-3.837413,34.999565,1251,1,1474174045,18.9336
-3.837408,34.999565,1251,1,1474174050,18.8023
-3.8374034,34.999565,1251,1,1474174055,18.6952
-3.837401,34.9995634,1251,1,1474174060,18.47
-3.8374026,34.999561,1251,1,1474174065,18.2422
-3.837405,34.999561,1251,1,1474174070,18.2965
-3.8374034,34.999561,1251,1,1474174075,18.2599
-3.8373998,34.999561,1251,1,1474174080,18.1836
-3.8373968,34.999561,1251,1,1474174085,18.1264
-3.8373954,34.999561,1250,1,1474174090,18.1017
-3.8373968,34.999561,1250,1,1474174095,18.1264
-3.8374,34.9995594,1250,1,1474174100,18.0129
-3.837405,34.999557,1250,1,1474174105,17.8625
-3.8374088,34.999557,1250,1,1474174110,17.9583
-3.8374084,34.999557,1250,1,1474174115,17.9477
-3.837404,34.999557,1251,1,1474174120,17.8389
-3.837399,34.9995542,1250,1,1474174125,17.4248
-3.837396,34.99955,1250,1,1474174130,16.907
-3.837396,34.9995468,1250,1,1474174135,16.5568
-3.8373956,34.9995468,1250,1,1474174140,16.5492
-3.837395,34.999554,1250,1,1474174145,17.327
-3.8373934,34.999554,1250,1,1474174150,17.2996
-3.837390667,34.99955,1250,1,1474174155,16.8167
-3.8373892,34.9995444,1250,1,1474174160,16.1786
-3.8373864,34.9995554,1250,1,1474174165,17.3555
-3.8373886,34.999561,1250,1,1474174170,18.0004
-3.8373908,34.9995626,1250,1,1474174175,18.2061
-3.837389,34.9995698,1249,1,1474174180,18.9766
-3.837385,34.9995744,1249,1,1474174185,19.4418
-3.837385,34.99958,1249,1,1474174190,20.0616
-3.837386,34.99958,1249,1,1474174195,20.071
-3.8373896,34.99958,1248,1,1474174200,20.11
-3.837388,34.99958,1248,1,1474174205,20.0917
-3.837388,34.9995808,1248,1,1474174210,20.1801
-3.8373874,34.999584,1248,1,1474174215,20.5275
-3.837384,34.999584,1248,1,1474174220,20.4957
-3.8373796,34.9995832,1248,1,1474174225,20.376
-3.837378,34.9995794,1248,1,1474174230,19.9459
-3.8373774,34.999577,1248,1,1474174235,19.6767
-3.837375,34.9995776,1248,1,1474174240,19.7341
-3.837375,34.9995808,1248,1,1474174245,20.0894
-3.8373756,34.999584,1248,1,1474174250,20.4466
-3.837378,34.9995848,1248,1,1474174255,20.5451
-3.837377667,34.999588,1248,1,1474174260,20.8987
-3.837376,34.999588,1248,1,1474174265,20.892
-3.8373755,34.999588,1248,1,1474174270,20.8903
-3.837373,34.999588,1248,1,1474174275,20.8841
-3.837371,34.999588,1248,1,1474174280,20.8818
-3.837373,34.999592,1248,1,1474174285,21.3283
-3.837375,34.999592,1248,1,1474174290,21.3329
-3.837375,34.999592,1248,1,1474174295,21.3329
-3.837375,34.999588,1248,1,1474174300,20.8888
-3.837373,34.999588,1248,1,1474174305,20.8841
-3.837371,34.999588,1248,1,1474174310,20.8818
-3.837371,34.999592,1248,1,1474174315,21.326
-3.837373,34.999596,1248,1,1474174320,21.7726
-3.837373,34.999599,1248,1,1474174325,22.1057
-3.837371,34.999599,1248,1,1474174330,22.1035
-3.837371,34.999596,1248,1,1474174335,21.7703
-3.837368,34.999596,1248,1,1474174340,21.7712
-3.837366,34.999599,1248,1,1474174345,22.1077
-3.837365,34.999599,1248,1,1474174350,22.1102
-3.837366,34.999599,1248,1,1474174355,22.1077
-3.837366,34.999599,1248,1,1474174360,22.1077
-3.837365333,34.999597,1248,1,1474174365,21.8872
-3.8373668,34.999596,1248,1,1474174370,21.7729
-3.837368,34.999596,1248,1,1474174375,21.7712
-3.8373692,34.9995936,1248,1,1474174380,21.5036
-3.83737,34.9995944,1248,1,1474174385,21.5923
-3.8373706,34.999596,1248,1,1474174390,21.7701
-3.8373734,34.9995978,1248,1,1474174395,21.9732
-3.837375,34.9995972,1248,1,1474174400,21.9103
-3.837378,34.9995912,1248,1,1474174405,21.2553
-3.8373818,34.9995856,1248,1,1474174410,20.6561
-3.8373842,34.9995864,1248,1,1474174415,20.7632
-3.837385,34.999588,1248,1,1474174420,20.9472
-3.8373856,34.999588,1248,1,1474174425,20.9526
-3.837386,34.9995856,1248,1,1474174430,20.6907
-3.8373872,34.9995816,1248,1,1474174435,20.2601
-3.8373892,34.99958,1248,1,1474174440,20.1053
-3.8373906,34.99958,1248,1,1474174445,20.1222
-3.8373892,34.99958,1248,1,1474174450,20.1053
-3.837388,34.99958,1248,1,1474174455,20.0917
-3.837388,34.9995824,1248,1,1474174460,20.357
-3.8373862,34.9995864,1248,1,1474174465,20.7811
-3.8373838,34.9995904,1248,1,1474174470,21.203
-3.8373842,34.999592,1248,1,1474174475,21.3835
-3.8373856,34.9995944,1248,1,1474174480,21.6611
-3.837388,34.999594,1248,1,1474174485,21.6396
-3.8373892,34.999592,1248,1,1474174490,21.4312
-3.837386,34.9995948,1248,1,1474174495,21.709
-3.837383,34.999599,1248,1,1474174500,22.1499
-3.837385,34.999599,1248,1,1474174505,22.1654
-3.8373868,34.999599,1248,1,1474174510,22.1812
-3.837387,34.9995962,1248,1,1474174515,21.8732
-3.83739,34.9995888,1248,1,1474174520,21.0866
-3.8373872,34.9995812,1248,1,1474174525,20.2158
-3.8373842,34.9995782,1248,1,1474174530,19.8551
-3.8373856,34.9995816,1248,1,1474174535,20.2442
-3.8373862,34.9995824,1248,1,1474174540,20.3385
-3.83739,34.99958,1248,1,1474174545,20.1148
-3.837393,34.99958,1248,1,1474174550,20.154
-3.8373918,34.99958,1248,1,1474174555,20.1377
-3.83739,34.99958,1248,1,1474174560,20.1148
-3.8373904,34.9995816,1248,1,1474174565,20.2963
-3.837393,34.9995856,1248,1,1474174570,20.7712
-3.837397667,34.99958933,1248,1,1474174575,21.2509
-3.8374018,34.999592,1248,1,1474174580,21.6137
-3.8374046,34.999592,1248,1,1474174585,21.6662
-3.8374034,34.999592,1248,1,1474174590,21.6432
-3.8374046,34.999592,1248,1,1474174595,21.6662
-3.8374034,34.999592,1248,1,1474174600,21.6432
-3.8374052,34.999592,1248,1,1474174605,21.678
-3.8374058,34.9995912,1248,1,1474174610,21.6027
-3.837405,34.9995872,1248,1,1474174615,21.1497
-3.837405,34.999584,1248,1,1474174620,20.8004
-3.8374046,34.9995856,1248,1,1474174625,20.9669
-3.8374024,34.999592,1248,1,1474174630,21.6246
-3.8374,34.999592,1248,1,1474174635,21.5822
-3.8374,34.999592,1248,1,1474174640,21.5822
-3.8373992,34.999592,1248,1,1474174645,21.5688
-3.837396,34.999592,1248,1,1474174650,21.5187
-3.8373954,34.9995904,1248,1,1474174655,21.3337
-3.8373934,34.999584,1248,1,1474174660,20.6003
-3.837395,34.9995832,1248,1,1474174665,20.5352
-3.8373946,34.9995786,1248,1,1474174670,20.023
-3.8373914,34.9995706,1248,1,1474174675,19.096
-3.8373822,34.9995572,1248,1,1474174680,17.5125
-3.8373664,34.9995374,1248,1,1474174685,15.2664
